job_title,work_year,experience_level,employment_type,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
Data Scientist,2020,MI,FT,79833,DE,0,DE,L
Machine Learning Scientist,2020,SE,FT,260000,JP,0,JP,S
Big Data Engineer,2020,SE,FT,109024,GB,50,GB,M
Product Data Analyst,2020,MI,FT,20000,HN,0,HN,S
Machine Learning Engineer,2020,SE,FT,150000,US,50,US,L
Data Analyst,2020,EN,FT,72000,US,100,US,L
Lead Data Scientist,2020,SE,FT,190000,US,100,US,S
Data Scientist,2020,MI,FT,35735,HU,50,HU,L
Business Data Analyst,2020,MI,FT,135000,US,100,US,L
Lead Data Engineer,2020,SE,FT,125000,NZ,50,NZ,S
Data Scientist,2020,EN,FT,51321,FR,0,FR,S
Data Scientist,2020,MI,FT,40481,IN,0,IN,L
Data Scientist,2020,EN,FT,39916,FR,0,FR,M
Lead Data Analyst,2020,MI,FT,87000,US,100,US,L
Data Analyst,2020,MI,FT,85000,US,100,US,L
Data Analyst,2020,MI,FT,8000,PK,50,PK,L
Data Engineer,2020,EN,FT,41689,JP,100,JP,S
Big Data Engineer,2020,SE,FT,114047,PL,100,GB,S
Data Science Consultant,2020,EN,FT,5707,IN,50,IN,M
Lead Data Engineer,2020,MI,FT,56000,PT,100,US,M
Machine Learning Engineer,2020,MI,FT,43331,CN,0,CN,M
Product Data Analyst,2020,MI,FT,6072,IN,100,IN,L
Data Engineer,2020,SE,FT,47899,GR,50,GR,L
BI Data Analyst,2020,MI,FT,98000,US,0,US,M
Lead Data Scientist,2020,MI,FT,115000,AE,0,AE,L
Director of Data Science,2020,EX,FT,325000,US,100,US,L
Research Scientist,2020,EN,FT,42000,NL,50,NL,L
Data Engineer,2020,SE,FT,33511,MX,0,MX,S
Business Data Analyst,2020,EN,CT,100000,US,100,US,L
Machine Learning Manager,2020,SE,FT,117104,CA,50,CA,L
Data Engineering Manager,2020,MI,FT,59303,DE,100,DE,S
Big Data Engineer,2020,EN,FT,70000,US,100,US,L
Data Scientist,2020,SE,FT,68428,GR,100,US,L
Research Scientist,2020,MI,FT,450000,US,0,US,M
Data Analyst,2020,MI,FT,46759,FR,50,FR,L
Data Engineer,2020,MI,FT,74130,AT,50,AT,L
Data Science Consultant,2020,MI,FT,103000,US,100,US,L
Machine Learning Engineer,2020,EN,FT,250000,US,50,US,L
Data Analyst,2020,EN,FT,10000,NG,100,NG,S
Machine Learning Engineer,2020,EN,FT,138000,US,100,US,S
Data Scientist,2020,MI,FT,45760,PH,100,US,S
Data Engineering Manager,2020,EX,FT,79833,ES,50,ES,L
Machine Learning Infrastructure Engineer,2020,MI,FT,50180,PT,0,PT,M
Data Engineer,2020,MI,FT,106000,US,100,US,L
Data Engineer,2020,MI,FT,112872,GB,50,GB,L
ML Engineer,2020,EN,PT,15966,DE,100,DE,S
Data Scientist,2020,MI,FT,76958,GB,100,GB,S
Data Engineer,2020,SE,FT,188000,US,100,US,L
Data Scientist,2020,MI,FT,105000,US,100,US,L
